iter	RMSE
0	862.670079
1	860.639051
2	858.9728763
3	857.6177854
4	856.504255
5	855.6004596
6	854.7910735
7	854.0641798
8	853.6117023
9	852.931472
10	852.3577424
11	852.0266946
12	851.8166342
13	851.4535364
14	851.0819175
15	850.7610709
16	850.5241809
17	850.0672906
18	849.6157201
19	849.311825
20	849.0304077
21	848.8185013
22	848.5779331
23	848.4495995
24	848.3017066
25	848.1061369
26	847.9764987
27	847.7124272
28	847.6185334
29	847.4356782
30	847.281498
31	847.196314
32	847.0566882
33	847.0056625
34	846.9736013
35	846.8789267
36	846.7665492
37	846.733311
38	846.5136478
39	846.41574
40	846.3164602
41	846.2780541
42	846.2595936
43	845.9398666
44	845.9208081
45	845.6941951
46	845.6487524
47	845.5397759
48	845.5234434
49	845.48665
50	845.322817
51	845.1447421
52	845.0939576
53	845.0620297
54	844.9634477
55	844.9492047
56	844.8780823
57	844.8658259
58	844.854059
59	844.8233014
60	844.7944138
61	844.6942582
62	844.6657184
63	844.5555344
64	844.5409889
65	844.4436693
66	844.4012834
67	844.3827622
68	844.3714788
69	844.3574022
70	844.2899832
71	844.2493223
72	844.0874542
73	844.0676807
74	843.858929
75	843.8485973
76	843.7913572
77	843.7518137
78	843.6010097
79	843.5770592
80	843.5480442
81	843.507714
82	843.4067224
83	843.3566467
84	843.3456828
85	843.2485191
86	843.2174824
87	843.2072391
88	843.1929329
89	843.1853638
90	842.9799853
91	842.9650639
92	842.9548146
93	842.9464581
94	842.8754623
95	842.8644842
96	842.8572709
97	842.825528
98	842.8017055
99	842.794432
100	842.7326905
101	842.6992657
102	842.671493
103	842.5433838
104	842.5034916
105	842.4951971
106	842.4518237
107	842.3994603
108	842.3889829
109	842.3825403
110	842.3725627
111	842.3630744
112	842.3530764
113	842.3364418
114	842.3284219
115	842.3143547
116	842.3030159
117	842.1351378
118	842.051568
119	842.035216
120	842.0247199
121	841.9531205
122	841.9457025
123	841.8555243
124	841.8488119
125	841.838628
126	841.8005243
127	841.790662
128	841.771109
129	841.7622823
130	841.7529184
131	841.7429748
132	841.6596494
133	841.640248
134	841.6283912
135	841.4790363
136	841.418414
137	841.3882218
138	841.2768963
139	841.2376825
140	841.2269078
141	841.2150838
142	841.2039647
143	841.1757503
144	841.1577145
145	841.1340709
146	841.0791646
147	841.0639114
148	841.0354167
149	841.0237053
150	840.9614187
151	840.9438721
152	840.9327981
153	840.9110388
154	840.9016421
155	840.8878159
156	840.876243
157	840.848334
158	840.8169308
159	840.7152347
160	840.7039768
161	840.6780181
162	840.6666487
163	840.5714457
164	840.5579134
165	840.5312586
166	840.5094584
167	840.500683
168	840.4915815
169	840.4836444
170	840.4244522
171	840.4015102
172	840.1532428
173	840.1309453
174	840.1215199
175	840.1012744
176	840.090278
177	840.0710989
178	840.0605978
179	839.8633934
180	839.8379847
181	839.7983062
182	839.7845379
183	839.7496731
184	839.738313
185	839.7304994
186	839.7195629
187	839.5425399
188	839.5302113
189	839.4529145
190	839.4055161
191	839.3664917
192	839.3172481
193	839.2800224
194	839.2160339
